NOCM;YEARM;M
GBS;2004;1
GBS;2008;2
GBS;2012;2
GBS;2016;3
GEO;2000;33
GEO;2002;4
GEO;2004;32
GEO;2006;3
GEO;2008;29
GEO;2010;5
GEO;2012;28
GEO;2014;4
GEO;2016;31
GEQ;2000;2
GEQ;2004;1
GEQ;2008;2
GEQ;2012;1
GEQ;2016;1
GER;2000;329
GER;2002;138
GER;2004;349
GER;2006;147
GER;2008;313
GER;2010;154
GER;2012;279
GER;2014;145
GER;2016;290
GHA;2000;19
GHA;2004;26
GHA;2008;8
GHA;2010;1
GHA;2012;5
GHA;2016;7
GRE;2000;102
GRE;2002;11
GRE;2004;253
GRE;2006;5
GRE;2008;97
GRE;2010;7
GRE;2012;70
GRE;2014;10
GRE;2016;67
GRN;2000;2
GRN;2004;3
GRN;2008;4
GRN;2012;5
GRN;2016;5
GUA;2000;17
GUA;2004;11
GUA;2008;9
GUA;2012;14
GUA;2016;15
GUI;2000;3
GUI;2004;3
GUI;2008;2
GUI;2012;2
GUI;2016;2
GUM;2000;5
GUM;2004;3
GUM;2008;5
GUM;2012;5
GUM;2016;3
GUY;2000;3
GUY;2004;2
GUY;2008;2
GUY;2012;4
GUY;2016;3
HAI;2000;3
HAI;2004;7
HAI;2008;3
HAI;2012;3
HAI;2016;7
HKG;2000;27
HKG;2004;19
HKG;2008;22
HKG;2012;26
HKG;2014;1
HKG;2016;17
HON;2000;18
HON;2004;3
HON;2008;24
HON;2012;22
HON;2016;22
HUN;2000;144
HUN;2002;26
HUN;2004;145
HUN;2006;18
HUN;2008;113
HUN;2010;11
HUN;2012;113
HUN;2014;15
HUN;2016;114
INA;2000;33
INA;2004;22
INA;2008;15
INA;2012;13
INA;2016;20
IND;2000;47
IND;2002;1
IND;2004;51
IND;2006;3
IND;2008;38
IND;2010;3
IND;2012;66
IND;2014;2
IND;2016;68
IOA;2000;3
IOA;2012;3
IOA;2014;1
IOA;2016;8
IRI;2000;33
IRI;2002;2
IRI;2004;36
IRI;2006;3
IRI;2008;52
IRI;2010;5
IRI;2012;46
IRI;2014;5
IRI;2016;56
IRL;2000;45
IRL;2002;7
IRL;2004;37
IRL;2006;3
IRL;2008;44
IRL;2010;3
IRL;2012;42
IRL;2014;6
IRL;2016;62
IRQ;2000;2
IRQ;2004;23
IRQ;2008;3
IRQ;2012;5
IRQ;2016;20
ISL;2000;17
ISL;2002;7
ISL;2004;28
ISL;2006;8
ISL;2008;22
ISL;2010;5
ISL;2012;24
ISL;2014;6
ISL;2016;4
ISR;2000;45
ISR;2002;2
ISR;2004;27
ISR;2006;4
ISR;2008;35
ISR;2010;3
ISR;2012;33
ISR;2014;5
ISR;2016;28
ISV;2000;9
ISV;2002;6
ISV;2004;7
ISV;2008;6
ISV;2012;4
ISV;2016;5
ITA;2000;297
ITA;2002;108
ITA;2004;304
ITA;2006;173
ITA;2008;276
ITA;2010;128
ITA;2012;212
ITA;2014;131
ITA;2016;213
IVB;2000;1
IVB;2004;1
IVB;2008;1
IVB;2012;1
IVB;2014;1
IVB;2016;1
JAM;2000;29
JAM;2002;2
JAM;2004;27
JAM;2008;30
JAM;2010;1
JAM;2012;29
JAM;2014;2
JAM;2016;34
JOR;2000;4
JOR;2004;4
JOR;2008;3
JOR;2012;5
JOR;2016;7
JPN;2000;226
JPN;2002;115
JPN;2004;210
JPN;2006;103
JPN;2008;233
JPN;2010;81
JPN;2012;199
JPN;2014;75
JPN;2016;227
KAZ;2000;105
KAZ;2002;49
KAZ;2004;83
KAZ;2006;67
KAZ;2008;72
KAZ;2010;52
KAZ;2012;85
KAZ;2014;74
KAZ;2016;66
KEN;2000;36
KEN;2002;2
KEN;2004;22
KEN;2006;1
KEN;2008;29
KEN;2012;29
KEN;2016;46
KGZ;2000;51
KGZ;2002;4
KGZ;2004;25
KGZ;2006;2
KGZ;2008;18
KGZ;2010;2
KGZ;2012;12
KGZ;2014;2
KGZ;2016;12
KIR;2004;2
KIR;2008;2
KIR;2012;2
KIR;2016;2
KOR;2000;232
KOR;2002;59
KOR;2004;203
KOR;2006;55
KOR;2008;208
KOR;2010;49
KOR;2012;176
KOR;2014;76
KOR;2016;145
KOS;2016;3
KSA;2000;23
KSA;2004;16
KSA;2008;18
KSA;2012;21
KSA;2016;8
KUW;2000;30
KUW;2004;10
KUW;2008;8
KUW;2012;9
LAO;2000;2
LAO;2004;3
LAO;2008;2
LAO;2012;2
LAO;2016;3
LAT;2000;43
LAT;2002;60
LAT;2004;34
LAT;2006;72
LAT;2008;35
LAT;2010;61
LAT;2012;36
LAT;2014;69
LAT;2016;20
LBA;2000;3
LBA;2004;6
LBA;2008;4
LBA;2012;3
LBA;2016;6
LBR;2000;8
LBR;2004;1
LBR;2008;2
LBR;2012;1
LBR;2016;2
LCA;2000;3
LCA;2004;1
LCA;2008;1
LCA;2012;1
LCA;2016;2
LES;2000;4
LES;2004;1
LES;2008;4
LES;2012;2
LES;2016;8
LIB;2000;4
LIB;2002;1
LIB;2004;3
LIB;2006;2
LIB;2008;4
LIB;2010;2
LIB;2012;3
LIB;2014;2
LIB;2016;4
LIE;2000;1
LIE;2002;17
LIE;2004;1
LIE;2006;9
LIE;2008;2
LIE;2010;4
LIE;2012;1
LIE;2014;4
LIE;2016;1
LTU;2000;47
LTU;2002;16
LTU;2004;55
LTU;2006;7
LTU;2008;45
LTU;2010;8
LTU;2012;42
LTU;2014;9
LTU;2016;60
LUX;2000;2
LUX;2004;7
LUX;2008;15
LUX;2012;7
LUX;2014;1
LUX;2016;8
MAD;2000;5
MAD;2004;3
MAD;2006;2
MAD;2008;4
MAD;2012;3
MAD;2016;2
MAR;2000;46
MAR;2004;48
MAR;2008;37
MAR;2010;2
MAR;2012;48
MAR;2014;2
MAR;2016;31
MAS;2000;42
MAS;2004;27
MAS;2008;26
MAS;2012;22
MAS;2016;23
MAW;2000;1
MAW;2004;2
MAW;2008;2
MAW;2012;1
MAW;2016;3
MDA;2000;30
MDA;2002;4
MDA;2004;26
MDA;2006;3
MDA;2008;22
MDA;2010;7
MDA;2012;12
MDA;2014;3
MDA;2016;14
MDV;2000;2
MDV;2004;2
MDV;2008;2
MDV;2012;3
MDV;2016;2
MEX;2000;64
MEX;2002;3
MEX;2004;70
MEX;2008;52
MEX;2010;2
MEX;2012;74
MEX;2014;1
MEX;2016;83
MGL;2000;12
MGL;2002;3
MGL;2004;13
MGL;2006;1
MGL;2008;14
MGL;2010;1
MGL;2012;18
MGL;2014;1
MGL;2016;26
MHL;2008;3
MHL;2012;2
MHL;2016;2
MKD;2000;7
MKD;2002;4
MKD;2004;8
MKD;2006;3
MKD;2008;5
MKD;2010;3
MKD;2012;2
MKD;2014;5
MKD;2016;2
MLI;2000;3
MLI;2004;19
MLI;2008;3
MLI;2012;4
MLI;2016;4
MLT;2000;4
MLT;2004;4
MLT;2008;3
MLT;2012;3
MLT;2016;4
MNE;2008;18
MNE;2010;2
MNE;2012;19
MNE;2014;2
MNE;2016;17
MON;2000;3
MON;2002;7
MON;2004;2
MON;2006;5
MON;2008;4
MON;2010;2
MON;2012;5
MON;2014;9
MON;2016;8
MOZ;2000;2
MOZ;2004;2
MOZ;2008;2
MOZ;2012;4
MOZ;2016;7
MRI;2000;20
MRI;2004;6
MRI;2008;6
MRI;2012;4
MRI;2016;5
MTN;2000;1
MTN;2004;1
MTN;2008;1
MTN;2012;1
MTN;2016;1
MYA;2000;1
MYA;2008;5
MYA;2012;3
MYA;2016;5
NAM;2000;10
NAM;2004;9
NAM;2008;6
NAM;2012;5
NAM;2016;5
NCA;2000;4
NCA;2004;2
NCA;2008;4
NCA;2012;3
NCA;2016;3
NED;2000;176
NED;2002;27
NED;2004;159
NED;2006;33
NED;2008;160
NED;2010;30
NED;2012;117
NED;2014;41
NED;2016;153
NEP;2000;2
NEP;2002;2
NEP;2004;3
NEP;2006;1
NEP;2008;4
NEP;2010;1
NEP;2012;2
NEP;2014;1
NEP;2016;3
NGR;2000;51
NGR;2004;29
NGR;2008;42
NGR;2012;30
NGR;2016;49
NIG;2000;2
NIG;2004;3
NIG;2008;2
NIG;2012;4
NIG;2016;4
NOR;2000;61
NOR;2002;110
NOR;2004;42
NOR;2006;105
NOR;2008;43
NOR;2010;135
NOR;2012;37
NOR;2014;142
NOR;2016;40
NRU;2000;1
NRU;2004;2
NRU;2008;1
NRU;2012;2
NRU;2016;2
NZL;2000;93
NZL;2002;13
NZL;2004;102
NZL;2006;10
NZL;2008;112
NZL;2010;13
NZL;2012;110
NZL;2014;10
NZL;2016;118
OMA;2000;8
OMA;2004;2
OMA;2008;3
OMA;2012;2
OMA;2016;2
PAK;2000;26
