NOC;YEAR;F
CGO;2012;3
CGO;2016;3
CHA;2000;2
CHA;2004;1
CHA;2008;1
CHA;2012;2
CHA;2016;1
CHI;2000;8
CHI;2002;3
CHI;2004;8
CHI;2006;5
CHI;2008;7
CHI;2010;5
CHI;2012;18
CHI;2014;6
CHI;2016;21
CHN;2000;255
CHN;2002;73
CHN;2004;317
CHN;2006;81
CHN;2008;354
CHN;2010;83
CHN;2012;267
CHN;2014;66
CHN;2016;295
CIV;2000;9
CIV;2004;3
CIV;2008;2
CIV;2012;6
CIV;2016;9
CMR;2000;11
CMR;2004;9
CMR;2008;7
CMR;2012;22
CMR;2016;17
COD;2000;2
COD;2004;1
COD;2008;1
COD;2012;1
COD;2016;2
COK;2000;1
COK;2004;1
COK;2008;1
COK;2012;5
COK;2016;5
COL;2000;24
COL;2004;28
COL;2008;33
COL;2010;2
COL;2012;64
COL;2016;76
COM;2000;1
COM;2004;1
COM;2008;1
COM;2012;2
COM;2016;2
CPV;2000;1
CPV;2004;1
CPV;2008;1
CPV;2012;2
CPV;2016;3
CRC;2000;3
CRC;2004;4
CRC;2008;2
CRC;2012;3
CRC;2016;5
CRO;2000;32
CRO;2002;12
CRO;2004;24
CRO;2006;17
CRO;2008;30
CRO;2010;10
CRO;2012;49
CRO;2014;9
CRO;2016;24
CUB;2000;92
CUB;2004;61
CUB;2008;61
CUB;2012;48
CUB;2016;43
CYP;2000;5
CYP;2004;7
CYP;2008;11
CYP;2010;2
CYP;2012;4
CYP;2016;7
CZE;2000;51
CZE;2002;54
CZE;2004;76
CZE;2006;53
CZE;2008;71
CZE;2010;52
CZE;2012;78
CZE;2014;64
CZE;2016;56
DEN;2000;56
DEN;2002;6
DEN;2004;56
DEN;2006;4
DEN;2008;32
DEN;2010;10
DEN;2012;73
DEN;2014;4
DEN;2016;61
DJI;2000;1
DJI;2008;1
DJI;2012;2
DJI;2016;1
DMA;2000;2
DMA;2004;1
DMA;2012;1
DMA;2016;1
DOM;2000;2
DOM;2004;16
DOM;2008;8
DOM;2012;21
DOM;2016;8
ECU;2000;3
ECU;2004;6
ECU;2008;8
ECU;2012;13
ECU;2016;16
EGY;2000;18
EGY;2004;16
EGY;2008;34
EGY;2012;45
EGY;2016;46
ERI;2000;1
ERI;2004;1
ERI;2008;2
ERI;2012;1
ERI;2016;1
ESA;2000;5
ESA;2004;7
ESA;2008;10
ESA;2012;6
ESA;2016;3
ESP;2000;148
ESP;2002;6
ESP;2004;184
ESP;2006;16
ESP;2008;146
ESP;2010;15
ESP;2012;136
ESP;2014;11
ESP;2016;172
EST;2000;3
EST;2002;10
EST;2004;12
EST;2006;24
EST;2008;17
EST;2010;27
EST;2012;11
EST;2014;20
EST;2016;21
ETH;2000;12
ETH;2004;12
ETH;2008;14
ETH;2012;16
ETH;2016;21
FIJ;2000;4
FIJ;2004;4
FIJ;2008;2
FIJ;2012;3
FIJ;2016;17
FIN;2000;37
FIN;2002;63
FIN;2004;23
FIN;2006;47
FIN;2008;32
FIN;2010;53
FIN;2012;37
FIN;2014;52
FIN;2016;33
FRA;2000;174
FRA;2002;49
FRA;2004;175
FRA;2006;69
FRA;2008;182
FRA;2010;71
FRA;2012;183
FRA;2014;74
FRA;2016;217
FSM;2000;2
FSM;2004;2
FSM;2008;2
FSM;2012;2
FSM;2016;3
GAB;2000;2
GAB;2004;2
GAB;2008;2
GAB;2012;2
GAB;2016;2
GAM;2000;1
GAM;2004;1
GAM;2008;1
GAM;2012;1
GAM;2016;1
GBR;2000;183
GBR;2002;26
GBR;2004;164
GBR;2006;22
GBR;2008;209
GBR;2010;30
GBR;2012;334
GBR;2014;31
GBR;2016;212
GBS;2000;1
GBS;2004;2
GBS;2008;1
GBS;2012;2
GBS;2016;2
GEO;2000;14
GEO;2002;2
GEO;2004;7
GEO;2006;1
GEO;2008;9
GEO;2010;4
GEO;2012;8
GEO;2014;3
GEO;2016;14
GEQ;2000;2
GEQ;2004;1
GEQ;2008;1
GEQ;2012;1
GER;2000;238
GER;2002;121
GER;2004;243
GER;2006;116
GER;2008;245
GER;2010;105
GER;2012;231
GER;2014;126
GER;2016;246
GHA;2000;9
GHA;2004;3
GHA;2008;1
GHA;2012;2
GHA;2016;8
GRE;2000;73
GRE;2002;6
GRE;2004;246
GRE;2006;3
GRE;2008;79
GRE;2010;5
GRE;2012;45
GRE;2014;3
GRE;2016;37
GRN;2000;1
GRN;2004;2
GRN;2008;5
GRN;2012;3
GRN;2016;1
GUA;2000;1
GUA;2004;8
GUA;2008;4
GUA;2012;10
GUA;2016;10
GUI;2000;3
GUI;2004;1
GUI;2008;3
GUI;2012;2
GUI;2016;3
GUM;2000;2
GUM;2004;1
GUM;2008;2
GUM;2012;3
GUM;2016;2
GUY;2000;1
GUY;2004;2
GUY;2008;2
GUY;2012;2
GUY;2016;4
HAI;2000;2
HAI;2004;1
HAI;2008;4
HAI;2012;2
HAI;2016;3
HKG;2000;19
HKG;2002;5
HKG;2004;23
HKG;2006;3
HKG;2008;25
HKG;2010;3
HKG;2012;29
HKG;2016;30
HON;2000;2
HON;2004;2
HON;2008;2
HON;2012;3
HON;2016;1
HUN;2000;94
HUN;2002;20
HUN;2004;113
HUN;2006;14
HUN;2008;103
HUN;2010;21
HUN;2012;88
HUN;2014;22
HUN;2016;90
INA;2000;21
INA;2004;17
INA;2008;11
INA;2012;9
INA;2016;11
IND;2000;23
IND;2004;30
IND;2006;2
IND;2008;29
IND;2012;29
IND;2016;62
IOA;2000;1
IOA;2012;1
IOA;2016;1
IRI;2000;1
IRI;2004;1
IRI;2008;3
IRI;2010;2
IRI;2012;11
IRI;2014;2
IRI;2016;11
IRL;2000;31
IRL;2002;2
IRL;2004;18
IRL;2006;2
IRL;2008;19
IRL;2010;4
IRL;2012;34
IRL;2014;2
IRL;2016;31
IRQ;2000;2
IRQ;2004;1
IRQ;2008;1
IRQ;2012;3
ISL;2000;12
ISL;2002;5
ISL;2004;6
ISL;2006;4
ISL;2008;9
ISL;2010;2
ISL;2012;12
ISL;2014;5
ISL;2016;10
ISR;2000;13
ISR;2002;5
ISR;2004;19
ISR;2006;2
ISR;2008;25
ISR;2010;1
ISR;2012;23
ISR;2014;1
ISR;2016;31
ISV;2000;3
ISV;2002;2
ISV;2004;2
ISV;2008;2
ISV;2012;5
ISV;2014;2
ISV;2016;2
ITA;2000;160
ITA;2002;90
ITA;2004;170
ITA;2006;117
ITA;2008;183
ITA;2010;80
ITA;2012;170
ITA;2014;96
ITA;2016;186
IVB;2008;1
IVB;2012;1
IVB;2016;3
JAM;2000;36
JAM;2004;35
JAM;2008;36
JAM;2012;33
JAM;2016;43
JOR;2000;4
JOR;2004;4
JOR;2008;4
JOR;2012;4
JOR;2016;1
JPN;2000;137
JPN;2002;88
JPN;2004;204
JPN;2006;87
JPN;2008;224
JPN;2010;72
JPN;2012;200
JPN;2014;96
JPN;2016;209
KAZ;2000;53
KAZ;2002;52
KAZ;2004;47
KAZ;2006;30
KAZ;2008;74
KAZ;2010;48
KAZ;2012;47
KAZ;2014;41
KAZ;2016;57
KEN;2000;23
KEN;2004;24
KEN;2008;18
KEN;2012;22
KEN;2016;34
KGZ;2000;20
KGZ;2004;7
KGZ;2008;4
KGZ;2010;1
KGZ;2012;3
KGZ;2016;7
KIR;2004;1
KIR;2012;1
KIR;2016;1
KOR;2000;127
KOR;2002;28
KOR;2004;141
KOR;2006;30
KOR;2008;121
KOR;2010;35
KOR;2012;136
KOR;2014;54
KOR;2016;118
KOS;2016;5
KSA;2012;2
KSA;2016;3
KUW;2004;1
KUW;2012;3
LAO;2000;1
LAO;2004;2
LAO;2008;2
LAO;2012;1
LAO;2016;2
LAT;2000;17
LAT;2002;8
LAT;2004;11
LAT;2006;20
LAT;2008;18
LAT;2010;20
LAT;2012;14
LAT;2014;13
LAT;2016;13
LBA;2004;2
LBA;2008;2
LBA;2012;1
LBA;2016;1
LBR;2000;2
LBR;2004;1
LBR;2008;2
LBR;2012;2
LBR;2016;1
LCA;2000;2
LCA;2004;1
LCA;2008;3
LCA;2012;3
LCA;2016;3
LES;2000;2
LES;2004;2
LES;2008;1
LES;2012;2
LES;2016;1
LIB;2000;2
LIB;2002;2
LIB;2004;2
LIB;2006;5
LIB;2008;2
LIB;2010;4
LIB;2012;7
LIB;2014;1
LIB;2016;5
LIE;2000;1
LIE;2002;1
LIE;2006;3
LIE;2010;1
LIE;2012;3
LIE;2014;1
LIE;2016;2
LTU;2000;30
LTU;2002;5
LTU;2004;15
LTU;2006;7
LTU;2008;33
LTU;2010;5
LTU;2012;30
LTU;2014;11
LTU;2016;20
LUX;2000;7
LUX;2004;7
LUX;2006;1
LUX;2008;4
LUX;2012;4
LUX;2016;7
MAD;2000;8
MAD;2004;5
MAD;2008;2
MAD;2012;4
MAD;2016;4
MAR;2000;9
MAR;2004;9
MAR;2008;12
MAR;2012;19
MAR;2014;2
MAR;2016;21
MAS;2000;13
MAS;2004;11
MAS;2008;16
MAS;2012;16
MAS;2016;19
MAW;2000;1
MAW;2004;2
MAW;2008;2
MAW;2012;2
MAW;2016;2
MDA;2000;5
MDA;2002;5
MDA;2004;7
MDA;2006;7
MDA;2008;8
MDA;2010;4
MDA;2012;8
MDA;2014;2
MDA;2016;9
MDV;2000;2
MDV;2004;2
MDV;2008;2
MDV;2012;2
MDV;2016;2
MEX;2000;34
MEX;2004;67
MEX;2008;51
