NOC;Year;Season;Sport;Medallas_Cant;Temp_prom
ITA;2016;Summer;Swimming;4;13
KOR;2014;Winter;Speed Skating;4;12
BRA;2016;Summer;Canoeing;4;25
AUT;2014;Winter;Nordic Combined;4;6
BRA;2016;Summer;Beach Volleyball;4;25
AUT;2010;Winter;Alpine Skiing;4;6
SWE;2004;Summer;Equestrianism;4;19
BUL;2008;Summer;Wrestling;4;11
MAR;2000;Summer;Athletics;4;17
ESP;2012;Summer;Sailing;4;13
KOR;2000;Summer;Taekwondo;4;12
LTU;2016;Summer;Rowing;4;6
SUI;2010;Winter;Curling;4;15
KOR;2000;Summer;Wrestling;4;12
UKR;2004;Summer;Rowing;4;8
SWE;2006;Winter;Alpine Skiing;4;19
BRA;2012;Summer;Beach Volleyball;4;25
FRA;2014;Winter;Cross Country Skiing;4;11
FRA;2014;Winter;Biathlon;4;11
UKR;2004;Summer;Canoeing;4;8
JPN;2012;Summer;Archery;4;11
LAT;2014;Winter;Bobsleigh;4;6
KOR;2004;Summer;Table Tennis;4;12
KOR;2004;Summer;Taekwondo;4;12
JPN;2008;Summer;Athletics;4;11
FRA;2004;Summer;Rowing;4;11
BRA;2008;Summer;Beach Volleyball;4;25
FIN;2006;Winter;Curling;4;2
FRA;2016;Summer;Canoeing;4;11
ITA;2008;Summer;Rowing;4;13
RUS;2016;Summer;Shooting;4;-5
USA;2008;Summer;Beach Volleyball;4;9
NOR;2010;Winter;Curling;4;2
NOR;2010;Winter;Alpine Skiing;4;2
RUS;2014;Winter;Snowboarding;4;-5
RUS;2016;Summer;Boxing;4;-5
RUS;2016;Summer;Cycling;4;-5
CUB;2012;Summer;Boxing;4;25
CHN;2016;Summer;Boxing;4;11
USA;2006;Winter;Curling;4;9
RUS;2000;Summer;Rowing;4;-5
CHN;2012;Summer;Trampolining;4;11
CZE;2004;Summer;Rowing;4;4
INA;2004;Summer;Badminton;4;26
NOR;2016;Summer;Rowing;4;2
RUS;2016;Summer;Swimming;4;-5
NOR;2002;Winter;Alpine Skiing;4;2
RUS;2000;Summer;Cycling;4;-5
GER;2010;Winter;Nordic Combined;4;9
GER;2016;Summer;Shooting;4;9
USA;2016;Summer;Archery;4;9
GER;2010;Winter;Ski Jumping;4;9
CHN;2000;Summer;Judo;4;11
USA;2004;Summer;Sailing;4;9
USA;2004;Summer;Beach Volleyball;4;9
CHN;2012;Summer;Cycling;4;11
GRE;2000;Summer;Athletics;4;15
NZL;2016;Summer;Athletics;4;11
USA;2014;Winter;Short Track Speed Skating;4;9
AUS;2000;Summer;Diving;4;22
RUS;2004;Summer;Rowing;4;-5
CRO;2002;Winter;Alpine Skiing;4;11
RUS;2006;Winter;Bobsleigh;4;-5
GER;2008;Summer;Diving;4;9
POL;2000;Summer;Fencing;4;8
POL;2000;Summer;Athletics;4;8
USA;2012;Summer;Wrestling;4;9
USA;2012;Summer;Shooting;4;9
GER;2004;Summer;Judo;4;9
NOR;2010;Winter;Ski Jumping;4;2
USA;2012;Summer;Beach Volleyball;4;9
CHI;2004;Summer;Tennis;4;8
NZL;2012;Summer;Sailing;4;11
RUS;2008;Summer;Cycling;4;-5
RUS;2008;Summer;Fencing;4;-5
CRO;2012;Summer;Rowing;4;11
RUS;2008;Summer;Shooting;4;-5
USA;2010;Winter;Freestyle Skiing;4;9
POL;2008;Summer;Fencing;4;8
RUS;2002;Winter;Cross Country Skiing;4;-5
USA;2008;Summer;Tennis;4;9
GER;2008;Summer;Shooting;4;9
SUI;2002;Winter;Bobsleigh;4;15
RSA;2016;Summer;Athletics;4;18
USA;2012;Summer;Fencing;4;9
GER;2014;Winter;Cross Country Skiing;4;9
PRK;2016;Summer;Weightlifting;4;6
GER;2012;Summer;Table Tennis;4;9
NED;2004;Summer;Judo;4;9
ROU;2012;Summer;Fencing;4;9
DEN;2000;Summer;Rowing;4;8
GBR;2016;Summer;Sailing;4;12
IRI;2012;Summer;Weightlifting;4;17
AUS;2008;Summer;Athletics;4;22
SUI;2000;Summer;Equestrianism;4;15
ALG;2000;Summer;Athletics;4;23
CHN;2008;Summer;Boxing;4;11
NED;2012;Summer;Sailing;4;9
RSA;2012;Summer;Rowing;4;18
NED;2008;Summer;Equestrianism;4;9
USA;2000;Summer;Boxing;4;9
ROU;2016;Summer;Fencing;4;9
